"title","body","rating_item","rating_delivery","rating_seller","rating_marketplace","rating_total"
"by new mallet a blunt and honest review","i recently purchased a new wallet and i have to say i am quite happy with my purchase from the moment i received my package i could tell that the seller took great care in packing the item the wallet itself is stylish and seems to be of good quality is i started to use the wallet i appreciated how the various compartment kept all of my card and cash organized however i had one issue with the design while the wallet wa able to hold all of my card it did become slightly bulky making it not a easy to carry around a i would have liked the price of the wallet wa reasonable and i appreciated not having to spend too much money on such a simple item additionally the shipping wa quick and hastefree however it would have been nice to have more color option to choose from overall i am happy with my purchase and would recommend this wallet to others who are looking for a functional and stylish option","","","1","","4"
"disappointing purchase a review of a mobile shone","i recently made a purchase of a mobile phone and unfortunately my experience wa not the best while the phone itself seems to be of decent quality i wa highly disappointed in both the delivery and the marketplace from which i made the purchase delivery wa slow and i had to chase the seller for updated is for the marketplace it lacked basic buyer protection and customer service needed to resolve any dispute to make matter worse some feature of the phone are not a intuition a i would like it took a considerable amount of time for me to learn how to use them properly the battery life is underwhelming and drain quickly forcing me to charge the phone more often than i would like despite these drawback the phone doe come with some great feature the camera quality is quite remarkable and ha exceeded my expectation additionally the internal memory provides ample space for storing all my data and application in conclusion while the mobile phone itself may not have been a bad purchase the slow delivery lack of buyer protection and unsatisfactory battery life leaf a considerable amount to be desired therefore i do not recommend making a purchase from this particular location","3","1","","1","2"
"review of by recent purchase headphone","i recently purchased a pair of headphone and while two out of three aspect of the purchase left me somewhat dissatisfied i am still glad to have bought them delivery wa not a quick a i had hoped for and took longer than expected when it came to the seller i did not have the best experience and thus wa let down with my dealing with them although i can not speak to the marketplace in detail a long a my purchase reached me ultimately it wa alright nevertheless the headphone themselves did end up meeting all of my need and this made me happy the audit quality lived up to my expectation and they fit comfortably around my head while the not the best buying experience at least the product itself compensated for these struggle","","3","2","2","3"
"a fun and practical wallet","i recently purchased a new wallet and i could not be more pleased with it his wallet ha everything i need in term of functionality and style it is the perfect size to fit in any purse or pocket yet it still ha plenty of room for all of my essential card and cash the delivery of my wallet wa quick and hastefree arriving at my footstep within just a few day i appreciated the fearless buying experience and prompt shipment while the seller provided great service i did have some slight criticism with the listing on their marketplace i felt that the description could have been more detailed in term of the specific feature and speck of the wallet regardless i am genuinely pleased with the overall transaction and satisfied with the wallet itself overall i highly recommend this wallet for anyone who need a unable and reliable accessory for their everyday use it exceeded my expectation and i am glad that i made the purchase","4","5","4","","4"
"the perfect mallet for by essential","i recently purchased a new wallet and i am pleased with it design and functionality the wallet i chose is a great fit for holding all of my essential item including identification card and cash the material and craftsmanship used in the wallet give a feel of quality and the slim profile make it easy to carry around by only recommendation to the seller would be to offer more variety in color and material a i found myself wanting more option to choose from in addition the ordering process could have been smoother a i encountered some hiccup along the way all in all i am happy with my purchase and feel like i have found a unable yet stylish wallet to keep my essential in","","","","3","4"
"perfect dress for a summer day","i recently got this beautiful dress and i am so happy with my purchase the fabric is light and airy and perfect for hot summer day it fit me just right in all the right place and compliment my curve the color is exactly what i had hoped for and the print is just the right amount of simple and chin the delivery wa prompt and on time which i always appreciate i wish the packing wa a bit more cofriendly but that is not a dealbreaker for me the only minor downside is that the dress requires occasional droning which can be a bit of a haste but nothing too major overall i am extremely satisfied with this dress and would highly recommend it to anyone looking for a stylish summer look5","","4","","","4"
"door quality dress disappointing purchasing experience","i must say i wa very disappointed with the dress i received the fabric wa thin and fly and the stitching wa poorly done in addition the dress i received had many stain on it had i inspected it before the return window closed seen those stain and contracted the seller the review probably would have ended better furthermore the delivery wa delayed and getting a refund from the seller wa a challenge i had to navigable through several email response for day just to get to them confirm the item a received overall the dress wa a considerable disappointment but it is enough of a lesson to understand that buying online is not the best way to ensure the quality of a product now","3","2","2","","2"
"mallet purchase dissatisfied with delivery but pleased with seller s service","i recently purchased a wallet from this vendor and wa quite excited to add it to my collection however i must say i wa incredibly disappointed with the delivery process not only did it take age to arrive but the package wa in poor condition upon arrival it wa not easy to accept such poor delivery service that being and submitted to consideration i must commend the seller for their prompt and professional service their responsiveness and attention to detail truly stood out which made me feel secure regarding the quest at least i have no complaint about the marketplace a it wa easy to navigable and usefriendly however the delivery process ha left me doubtful of trying this webster again on this feature all in all the experience left me feeling mixed about this purchase i am willing to recommend this vendor but they really need to work on the delivery aspect big time","3","1","4","5","3"
"fantastic studio quality but disappointing seller and delivery experience","i recently purchased a pair of headphone and wa particularly impressed with the audit quality the sound is crystal clear and the bass is punch but not overwhelming making for an overall enjoyable listening experience unfortunately while the item itself is great the delivery experience left a lot to be desired it took longer than expected to arrive and the package arrived slightly damaged to make matter worse the seller wa not responsive to my concern about the delivery issue leaving me feeling frustrated with the entire purchase process overall i would recommend these headphone based solely on their quality but would caution buyer to manage their expectation when it come to delivery and seller responsiveness","5","3","1","","3"
"a highly educated customer s review of a mobile shone purchase","the mobile phone i received wa decent although not perfect however the same could not be said about the delivery and the seller the delivery took way longer than expected and during the waiting period i wa constantly thinking about where my package lost it way which caused immense frustration moreover the seller wa not very communicative and did not answer all of my question which only added to the stress of the uncertainty i also did not appreciate the service i received through the marketplace having dealt with other marketplace in the past i must say this wa one of the most unpleasant encounter i have ever experienced in summary a a highly educated individual i expect prompt delivery excellent customer service and clear communication from both the seller and the marketplace unfortunately my experience did not align with my expectation i would recommend this phone but i can not recommend the seller delivery or even the marketplace due to my experience","4","2","2","1","2"
"a neutral took at my recent mobile shone purchase","i recently acquired a new mobile phone online and wanted to share my experience firstly the delivery wa timely and hastefree making the process of getting my new phone quick and easy i wa satisfied with this aspect of my purchase the seller however wa not a impressive although they delivered a functional phone with no technical defect the customer communication wa not the best their general delivery message wa what gave me concern personally i prefer fuller communication before purchasing something online lastly the marketplace exceeded my expectation with feature like a fearless payment gateway and efficient cracking the overall experience wa spectacular to sum it up my usage of my new phone so far ha been great taking all these aspect into account i am content with my experience neither amazed or perplexed by it","","5","3","5","3"
"a cheek customer s delightful review of a new mallet","i have recently got my hand on this new wallet and i must say it is cheerily delightful although it took a bit longer than expected to arrive four out of five star satisfied me in term of processing time and shipment however this could have been a minor issue with the supplier speaking of which i have to admit i am slightly le than impressed with the seller due to a delayed response to inquiry nevertheless they were helpful despite the communication misha is for the choice for the purchase location which i will not name i wa extremely satisfied with the webster s user experience easy navigation fast and secure payment and the bounty of available option completely exceeded my expectation looking at the wallet itself i can not really pick any flaw it ha an adequate number of compartmentsmy card hold snugly in it pocketsmy cash stay organizeduseful lipping interior layer and overall the design is astounding drafted","5","4","2","5","4"
"cheek customer s honest opinion about a beautiful dress","i recently purchased a gorgeous dress from an online retailer and what can i say it is stunning the color and design are even better in person and i can not wait to wear it to my next special occasion however i do have to say that the fit could have been a bit better it is not exactly how i imagined it to be but it is still bearable the material is also not a highquality a i would have liked it to be but it is not a dealbreaker overall i am happy with my purchase and feel confident that i will rock this dress wherever i go the ordering process wa super easy and the package arrived in a timely manner which i appreciate i have been eying this dress for a while and i went back and forth about actually buying it but now i am glad that i did it is going to be a great addition to my wardrobe and i am excited to have it i would definitely recommend this dress to anyone looking for something unique and eyecatching for a special occasion","1","","","","4"
"great round quality comfort would he improved","i recently purchased a pair of headphone and wa excited to test them out the sound quality really impressed me providing a clear and crisp listening experience it almost felt like i wa hearing my favorite song for the first time however i did notice that they were slightly uncomfortable to wear for long period of time which wa a bit disappointing the design look nice but i wish the material were a little study all in all i am happy with the sound quality but wish they were a bit more comfortable to wear for extended period 5","3","","","","3"
"disappointed with the quality and durability of this mallet","i recently purchased this wallet and unfortunately i am not satisfied with my experience while the delivery wa prompt and convenient the actual quality of the wallet leaf much to be desired the material appears to be quite cheap and fly with visible wear and tear after minimal use furthermore the wallet doe not seem to hold it shape particularly well and often becomes lump and misshapen in my pocket moreover i wa very disappointed with the seller s communication and customer service after raising my concern regarding the quality of the wallet i wa met with a dismissive and helpful response it is important for seller to stand behind their product and unfortunately this did not seem to be the case in this instance overall while the delivery of the wallet wa positive and the wallet itself serf it purpose i would caution others against purchasing this product in light of the poor quality and lackluster customer service 5","3","4","1","","2"
"door quality headphone","i wa really disappointed with the quality of these headphone the sound is mediocre at best and the earbuds are uncomfortable to wear for extended period of time however i will say that the delivery wa prompt and efficient which is the only positive aspect of this purchase the seller wa not that great either a they did not provide any helpful information or assistance when i had question moreover i am not happy with my overall experience shopping on this marketplace a it seems that the quality of item and seller is not guaranteed the fact that i had to deal with the vendor s lack of proper communication just added salt to the wound when it come to purchasing earphone i recommend investing in a good quality wellknown brand instead of buying from a marketplace that doe offer ample buy protection but not enough to have auditresolution alternative or easy communication with the manufacturer","2","5","2","3","2"
"boxing joy my thought on my new headphone","i recently purchased a new pair of headphone and a a happy customer i thought i would share my thought the sound quality of the headphone wa equal to what wa shown in the photo which wa exciting although the delivery wa not great and they took much longer to arrive than i would have liked i wa still happy once they were in my hand the overall packing of the headphone wa excellent and it made undoing them such a joy the only downside wa the seller a i did have a small issue with them however it did not impact my overall happiness with the product in regard to the marketplace it wa overall a great and easytouse platform to buy my new headphone the buyer protection gave me extra peace of mind while shopping i would recommend them to others looking to make a purchase","4","2","3","5","4"
"exceeded my expectation","i recently purchased a new mobile phone and i could not be happier with my choice from the moment i received the package i knew i wa in for something special the delivery wa prompt and the phone itself wa wellpackage and appeared brand new the seller wa fantastic to deal with and provided exceptional customer service throughout the process they responded quickly to my queried and made sure to keep me informed throughout the shipping process it is no surprise that i give the seller a perfect score but the real test wa how the phone would perform i am happy to report that this phone exceeded all of my expectation it is featurepacked and run all of my ape perfectly the camera is topnotch and the display is vivid and bright battery life ha been excellent too i can go a full day without needing to charge it overall i am extremely happy with my purchase and would highly recommend this phone to anyone in the market for a new mobile phone","","","5","","5"
"clear and crisp round with disappointing seller","i recently purchased a new pair of headphone online and wa pleased with their delivery time arriving promptly a expected the product wa package appropriately and i appreciated the care taken to ensure the headphone were not damaged in transit however my satisfaction with the purchase wa soured by my experience with the seller communication wa difficult and i found it frustratingly unclear regarding the shipping location and expected delivery date some basic information like an email update on the order s status would have been refreshing despite this i wa delighted with the quality of the sound produced by these headphone studio playback wa clear and crisp allowing me to hear each individual note and word with heightened clarity background noise wa virtually nonexistent while i wa wearing them providing a unique immersion experience whether listening to music a podcast or audiobook while i wa displeased with my experience with the seller my satisfaction in the marketplace led me to try a new product from a different seller a there are such good deal to be found there overall though i am pleased with the performance of my purchase and see myself continuing to enjoy them for many year to come","","5","3","5","4"
"review of a class dress","i ordered this beautiful dress a i needed one for a family function the garment wa delivered on time and i wa happy with the packing however upon undoing i discovered that the dress ran a bit small in size his caused slight inconvenience but wa not a significant drawback despite the seizing issue i wa mesmerized by the elegant design of the outfit it had beautiful embroidery work which made it stand out from the other dress i have tried recently i also appreciated how well the dress wa stitched and the quality of the material wa unexpectedly great which added a lovely shimmering touch to the dress in the day of the event i wore the dress and received several lovely compliment it wa comfortable to wear and got me through the evening without any issue i am satisfied with the overall purchase except for the seizing issue maybe seizing up one size will work better for others who want this dress","","3","","","4"
"not north the castle","i recently purchased a mobile phone and unfortunately it ha been nothing but a headache the seller wa not the most responsive and i had to constantly send message to get a response in top of this the product i received wa not a expected the screen is too small for me to read anything properly and the battery life is laughable while the price wa appealing at first the quality is simply not there the seller may have a decent reputation for the most part but i can not help but feel misled it is clear that they missed a few key detail when posting the product which ha greatly impacted my overall satisfaction overall i would not recommend buying this phone i believe it is important to invest in a good device that last rather than saving a tiny bit of money front and dealing with numerous issue down the line","","","3","","2"
"misleading description mediocre round quality and major discomfort","i wa really hoping for more from these headphone especially considering the price i paid first off the description wa somewhat misleading it promised highquality sound and a comfortable fit but unfortunately neither wa really delivered in term of sound quality it wa okay but nothing exceptional i have definitely had much better sounding headphone in the past plus the volume did not go a loud a i would have liked the real kicked however wa the discomfort factor i do not know what it is about these headphone but they simply do not fit well on my head or ear after wearing them for just a short period of time my head start to ache and my ear become quite sore his make it really difficult to stick with them for extended listening period in the plus side the delivery wa very prompt and the seller wa quite good to deal with to at least that wa a positive part of the experience overall i can only give these headphone a 25 rating unfortunately i would not recommend them unless you have a very specific use case in mind where comfort and sound quality are le of an issue","4","5","4","","2"
"disappointed with the purchase","i recently bought a mobile phone online and unfortunately it did not meet my expectation while i will not mention where i purchased it from i can say that the whole experience left a lot to be desired firstly the phone itself ha some major issue it seems to law and freeze often which is frustration when trying to use ape additionally the battery life doe not seem to be up to par with what i expected despite trying to adjust the setting and conserve energy it drain quickly secondly the delivery process wa lengthy and the communication from the seller wa limited i felt like i wa left in the dark about when i would receive my order and had to reach out multiple time before getting a cracking number lastly it wa disappointing to see that the seller did not seem to put any effort into packing the phone securely for shipping it wa just tossed into a shipping envelope without any protection or adding which wa concerning since the technology is so delicate overall i have to say i would not recommend purchasing from this marketplace while the mobile phone may be cheaper the risk of a flowed device coupled with lackluster customer service and support make the saving not worthwhile","3","2","1","1","1"
"great round disappointing experience","i wa excited to receive these headphone and try them out expecting top quality while the delivery timeframe wa not too bad i wa a bit disappointed by the packing it wa a bit plain and did not feel very premium compared to other headphone i have purchased in the past nonetheless once i tried them on and played some of my favorite music i wa blown away by the sound quality the deep bass and clarity in the treble really exceeded my expectation however when it come to the seller and the marketplace i wa quite dissatisfied the seller offered no communication during the purchasing process nor did they provide a shipment ratification or email regarding the transaction which left me frustrated and slightly uncomfortable is for the marketplace it seemed reliable and unorganized which definitely made the overall purchase experience worse in general i would like to say that the sound quality on these headphone is great and i am happy with the product however the whole purchasing experience left me feeling underwhelmed it wa not worth the amount of frustration and uncertainty it caused ultimately while the product itself wa good it wa not necessarily worth it taking all the external factor into consideration","","3","2","1","3"
"that a disaster to not buy from this seller","i recently purchased a dress online and the entire experience wa a nightmare while i ended up liking the item it wa not worth the aggravation that came with it first of all the delivery wa incredibly slow it took week for the dress to arrive and i had to put my plan on hold waiting for it when it finally did come i wa deeply disappointed with the packing it wa clear that the seller barely put in any effort to ensure the dress would not get crumpled in transit and the seller themselves they were completely helpful throughout the entire process when i first inquired about the delivery they were dismissive and told me to just wait a bit longer after that i wa too scared to interact with them anymore the only reason i am not giving this purchase a 1star rating is because the dress itself did eventually arrive and it just fit me so perfectly but considering the headache it took to get to me i would not recommend shopping here again","5","2","1","3","2"
"sleek but not quite is expected","i recently purchased a dress that caught my eye on an online platform while the item arrived in a timely manner the quality of the product wa not a impressive a advertised however the seller wa pleasant to interact with and provided helpful assistance throughout the transaction the platform itself wa easy to use and there were no issue with the purchase process from start to finish unfortunately the dress simply did not fit a expected and the fabric wa not a unable a i had hoped i even had an issue with some filling after the first wash nevertheless the color wa lovely and the cut of the dress wa quite flattering while i will not be able to wear it for extended period of time it is a nice addition to my wardrobe for short event overall i appreciated the quick delivery and the seller s responsiveness the platform wa userfriendly and facilitating the purchase went smoothly nonetheless the fabric and fit of the dress were underwhelming and i can not give a high rating for this particular item","1","4","5","4","2"
"great dress but expect some minor issue","i recently purchased a dress and wa excited to receive it the shipping wa prompt and the dress arrived in good condition although the marketplace platform wa not satisfying the seller provided excellent customer service the quality of the dress wa great and i wa highly impressed by the design however it wa a bit too long and required some adjustment additionally i had some discomfort with the fabric a it wa not a breathable a i would have liked despite these minor issue i still love the dress and will continue to wear it it is perfect for special occasion and make me feel amorous","","","","1","4"
"that dress is calling by same","i do not usually write review but this dress is something else the color is just a vagrant a shown in the picture and the material is lightweight and comfortable to wear i wore it to a recent event and received so many compliment i would rate the item a perfect 55 however the delivery process wa not the best it took longer than expected to arrive and the cracking information wa a bit confusing i would rate the delivery process a 35 the seller on the other hand wa wonderful they responded promptly to my inquiry and even checked in after the dress arrived i would rate them a 55 unfortunately my experience with the marketplace wa not the best i encountered some technical difficulty while placing my order and their customer service wa not the most helpful i would rate them a 25 overall i would highly recommend the dress but the delivery process and my experience with the marketplace left something to be desired","5","3","5","2","4"
"a reliable and practical mobile shone","after searching for day for a new mobile phone i stumbled upon this device and decided to purchase it delivery went smoothly and everything wa package properly upon arrival firstly the design of the phone is sleek and lightweight it ha a good camera and work well for basic use however i wish the battery life wa a bit longer a it often dy within a few hour of heavy usage additionally the storage space seems to fill up quickly even with moderate use in term of performance it operate well without any noticeable law or clash the touch screen is responsive and the display is bright and clear however the sound quality could be improved a it tends to be a bit tiny overall this phone meet my basic need and function well for the most part","","4","","","3"
"disappointing wallet purchase","i bought a wallet recently and let me tell you it wa a total letdown it looked cut in the picture online but the quality just wa not there the material is fly and i am not sure it will last very long there is not even a slippered compartment for coin or small item which is a huge inconvenience in the plus side the delivery wa fairly quick so i give point for that the seller wa also okay but not exceptional they seemed to care when i reached out with a question but there wa nothing that stood out a particularly great about the interaction overall i would not recommend this wallet","1","4","3","","2"
"a heap mallet with some drawback","i recently got myself a wallet and i am both pleased and pleased in one hand the delivery wa quite quick and it arrived in good condition in the other hand the seller wa not very friendly when i communicated with them now about the wallet itself it look decent enough and ha enough compartment to stick some bill and card honestly speaking however the build is not the best and could use some enhancement to make it more unable also the card space is too tight and the card come out with difficulty although it doe have a metal chain that is a gamechanges if you prefer shortdistance banking transaction all that being said it is definitely what i expected for it cost on a wellknown online marketplace of you are using this wallet occasionally it will be fine with a few maintenance freeze here and there therefore do not hope to gift it to anyone unexpectedly overall i give it an unsatisfactory 5","1","5","2","","2"
